ID,Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return.1,Excess Return.1,Systematic Risk.1,Total Risk.1,Abs. Win Rate.1,Rel. Win Rate.1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.139,0.01,1.33,0.149,0.663,0.525,0.5318748023032747,0.47811617737326284,0.7380151573598652,0.8,0.5199999999999999,0.41176470588235303
2,0.0,1.0,0.0,0.0,0.0,0.0,0.143,0.01,1.17,0.108,0.663,0.65,0.5497115767632317,0.48759515504662976,0.5715793247407004,0.4122310840579945,0.5199999999999999,0.7647058823529413
3,0.0,0.0,1.0,0.0,0.0,0.0,0.173,0.018,1.3,0.144,0.638,0.513,0.692625436280919,0.6298950110931354,0.70305137902405,0.7568794273144732,0.43999999999999984,0.376470588235294
4,0.0,0.0,0.0,1.0,0.0,0.0,0.096,-0.002,1.39,0.144,0.613,0.475,0.32435138890999826,0.25563405050250176,0.8,0.756046465789155,0.3600000000000001,0.2705882352941176
5,0.0,0.0,0.0,0.0,1.0,0.0,0.096,0.001,1.04,0.087,0.725,0.538,0.32661490551903705,0.306500583264615,0.43245191773945524,0.20928890050509297,0.72,0.44705882352941173
6,0.0,0.0,0.0,0.0,0.0,1.0,0.07,-0.005,1.1,0.11,0.563,0.463,0.2,0.2,0.49088232200303483,0.42906286037306757,0.2,0.23529411764705888
7,0.5,0.5,0.0,0.0,0.0,0.0,0.195,0.026,0.97,0.105,0.738,0.638,0.8,0.8,0.3597522371815644,0.3751911696122572,0.7600000000000002,0.7294117647058822
8,0.5,0.0,0.5,0.0,0.0,0.0,0.164,0.016,1.32,0.149,0.65,0.513,0.6521860403953194,0.594190452739228,0.7236552703825667,0.7971945455765044,0.4800000000000001,0.376470588235294
9,0.0,0.5,0.5,0.0,0.0,0.0,0.185,0.022,1.06,0.109,0.675,0.65,0.7506206889941092,0.7211401110626023,0.4542097650936622,0.41833761157553506,0.56,0.7647058823529413
10,0.5,0.0,0.0,0.5,0.0,0.0,0.15,0.015,1.05,0.113,0.7,0.513,0.5853214994439921,0.5871479040678567,0.4386408413573779,0.4597882167053142,0.6399999999999999,0.376470588235294
